PresOrder,RandSeq,ItemID,ItemType,ListID,ConditionID,Sentence,
40,40,Fill29,Fill,4,WhIsland,Who did Oscar state whether they dispatched after the tragic murder yesterday?,
41,41,Fill08,Fill,4,GardenPath,While the lawyer studied the contract that was old and wrinkled lay on the roll-top desk.,
42,42,Fill14,Fill,4,GardenPath,While the nurse shaved the patient that was tired and weak watched TV.,
43,43,Targ02,Targ,4,C,The organized caterer knew which extravagant reception the plan that prepared far in advance for the banquet would benefit at the expensive hotel.,
44,44,Fill19,Fill,4,WhIsland,Who did Winston state whether they trained shortly before the trial began?,
45,45,Fill41,Fill,4,AdjunctIsland,For how many months did Hilary doubt whether some people would fish during the official fishing season?,
46,46,Fill21,Fill,4,WhIsland,Who did Stephen confirm whether they released after the demands were met?,
47,47,Fill24,Fill,4,WhIsland,Who did Charlotte ponder whether they nominated at the recent Republican convention?,
48,48,Fill25,Fill,4,WhIsland,Who did Marvin mention whether they accompanied at the concert on Sunday?,
49,49,Targ16,Targ,4,B,The hospital patient learned which foods the struggle to battle for many months against his serious infection would eliminate from his diet.,
50,50,Fill26,Fill,4,WhIsland,Who did Maureen speculate whether they tutored before the final physics exam?,
51,51,Fill42,Fill,4,AdjunctIsland,How many days per week did Erica establish whether the athletes had eaten the recommended amount of protein?,
52,52,Fill32,Fill,4,WhIsland,Who did Susan disclose whether they adopted after making several failed attempts?,
53,53,Fill43,Fill,4,AdjunctIsland,For what length of time did Ethan assess whether the official had known about the recent controversial firings?,
54,54,Fill36,Fill,4,AdjunctIsland,For what period of time after the crash did Julie observe whether the passenger had survived in the unbelievably harsh conditions?,
55,55,Targ24,Targ,4,C,The knowledgeable surgeon realized which medical treatments the plan that continued regularly and systematically through the summer would require after the major operation.,
56,56,Targ21,Targ,4,B,The school bus driver realized which weekday mornings the plan to allow during the morning for traffic delays would complicate on the way to school.,
57,57,Targ08,Targ,4,A,The skilled hunter knew which weapon the attempt to aim with perfect accuracy toward the deer would require during the summer hunting season.,
58,58,Targ14,Targ,4,D,The quick-thinking doctor knew which untested procedures the plan that compensated quickly and completely for lost time would introduce after the tragic accident.,
59,59,Targ23,Targ,4,D,The boring teacher realized which complaints the idea that improved dramatically and creatively upon the lecture style would avoid during the remainder of the semester.,
60,60,Fill27,Fill,4,WhIsland,Who did Albert learn whether they dismissed after the annual performance evaluations?,
61,61,Targ09,Targ,4,C,The friendly principal understood which long-term project the plan that continued without any interruption through the next year would benefit at the crowded elementary school.,
62,62,Targ12,Targ,4,D,The concerned teacher guessed which innovative techniques the campaign that warned sternly and seriously against cigarettes would implement at the public high school.,
63,63,Fill01,Fill,4,GardenPath,While the man hunted the deer that was brown and graceful ran into the woods.,
64,64,Targ10,Targ,4,C,The software engineer understood which malfunctioning program the plan that improved in many ways upon the original design would fix at the software company.,
65,65,Fill15,Fill,4,GardenPath,While the girl scratched the cat that was gray and white stared at the dog.,
66,66,Fill38,Fill,4,AdjunctIsland,How many days per week did Meghan discover whether the patient had exercised without seeing any weight loss?,
67,67,Fill11,Fill,4,GardenPath,While the boy washed the dog that was white and furry barked loudly.,
68,68,Fill04,Fill,4,GardenPath,While the student read the notes that were long and boring blew off the desk.,
69,69,Fill03,Fill,4,GardenPath,While the reporter photographed the rocket that was silver and white sat on the launch pad.,
70,70,Fill10,Fill,4,GardenPath,While the thief hid the jewelry that was elegant and expensive sparkled brightly.,
71,71,Fill22,Fill,4,WhIsland,Who did Brandy ponder whether they identified at the station near Scranton?,
72,72,Targ19,Targ,4,B,The fair judge realized which high-profile investigation the plan to argue using controversial evidence against the defense lawyer's claim would reopen during the trial.,
